epoch,dice_ED,dice_ET,dice_NCR,dice_coef,loss,mean_iou,val_dice_ED,val_dice_ET,val_dice_NCR,val_dice_coef,val_loss,val_mean_iou
0,0.7406917214393616,0.7843910455703735,0.626015305519104,0.7170332670211792,0.4072818160057068,0.5894991159439087,0.5094404220581055,0.7608310580253601,0.8398463129997253,0.7033728361129761,0.8159626722335815,0.659410297870636
1,0.800808846950531,0.8385580778121948,0.7158203125,0.7850626707077026,0.28292086720466614,0.6677631139755249,0.5591919422149658,0.8138543963432312,0.849462628364563,0.7408362030982971,0.8059061169624329,0.6981921792030334
2,0.8110705614089966,0.846840500831604,0.7309300303459167,0.7962782979011536,0.26843851804733276,0.6824356913566589,0.6190932989120483,0.8358021974563599,0.857653021812439,0.7708496451377869,0.8013758063316345,0.728118896484375
3,0.8203082084655762,0.8521949648857117,0.7494518160820007,0.8073180913925171,0.2560986578464508,0.6962873339653015,0.5874307751655579,0.8197337985038757,0.8560267686843872,0.7543982267379761,0.7920696139335632,0.7110790610313416
4,0.8243162035942078,0.8557595014572144,0.7562522292137146,0.8121098875999451,0.24810469150543213,0.7024703025817871,0.5533993244171143,0.8377817273139954,0.8559441566467285,0.7490420937538147,0.7979111671447754,0.7050276398658752
5,0.8279802203178406,0.8579666614532471,0.7592289447784424,0.8150584101676941,0.24552024900913239,0.7064884305000305,0.44352027773857117,0.7746776938438416,0.7729083299636841,0.6637030243873596,0.8117770552635193,0.618218719959259
6,0.8318111896514893,0.8622304201126099,0.7696168422698975,0.8212202191352844,0.2379138469696045,0.7139630913734436,0.5222710967063904,0.8210830092430115,0.8615788817405701,0.7349771857261658,0.7898001670837402,0.6922365427017212
7,0.8344041705131531,0.8610272407531738,0.7790719866752625,0.8248353600502014,0.23426058888435364,0.7186151146888733,0.5444748401641846,0.8213089108467102,0.8551080822944641,0.7402973771095276,0.7877671718597412,0.6979310512542725
8,0.8382433652877808,0.8636782765388489,0.7794679999351501,0.8271297216415405,0.2323465496301651,0.7218262553215027,0.5626346468925476,0.8387212753295898,0.854966938495636,0.7521080374717712,0.7960343956947327,0.7091307044029236
9,0.8365219235420227,0.8651455640792847,0.7834315299987793,0.8283659219741821,0.23033729195594788,0.7233642935752869,0.5941594839096069,0.7995414733886719,0.8637921810150146,0.7524983882904053,0.7862127423286438,0.7103702425956726
10,0.8416711091995239,0.8676472306251526,0.7917991876602173,0.8337066173553467,0.22510063648223877,0.7299392223358154,0.6128301620483398,0.8290748596191406,0.8667576313018799,0.7695533633232117,0.7879629731178284,0.727782130241394
11,0.8420106172561646,0.8658282160758972,0.7914887070655823,0.8331087231636047,0.22523455321788788,0.729310929775238,0.5825622081756592,0.8463653326034546,0.8653475046157837,0.7647586464881897,0.7910443544387817,0.7228350043296814
12,0.8424324989318848,0.868502140045166,0.7959533333778381,0.8356314897537231,0.21878090500831604,0.7323903441429138,0.6354555487632751,0.8261606097221375,0.84084153175354,0.7674862146377563,0.7891407608985901,0.7247036099433899
13,0.8439785242080688,0.868430495262146,0.7963964343070984,0.8362670540809631,0.21998129785060883,0.7334458231925964,0.6052801609039307,0.7821233868598938,0.8605217337608337,0.7493088245391846,0.7824798226356506,0.7074506282806396
14,0.8472110033035278,0.8716913461685181,0.8011101484298706,0.8400046825408936,0.2153196632862091,0.7384935617446899,0.5992182493209839,0.723850667476654,0.8447160124778748,0.722594678401947,0.7843694090843201,0.6802417039871216
15,0.8433789014816284,0.8686612248420715,0.788640558719635,0.8335620164871216,0.2228042036294937,0.7303093075752258,0.617901623249054,0.7868861556053162,0.8265708088874817,0.7437857389450073,0.7873990535736084,0.7008715867996216
16,0.8469476103782654,0.8703590035438538,0.7990728616714478,0.8387933373451233,0.21838240325450897,0.7365657091140747,0.5790114402770996,0.8390709161758423,0.8581354022026062,0.758739173412323,0.7855186462402344,0.7166627645492554
17,0.8485539555549622,0.8718003630638123,0.8014606833457947,0.8406051993370056,0.21514393389225006,0.7392571568489075,0.6214491724967957,0.8446484804153442,0.864075243473053,0.7767239212989807,0.7852503061294556,0.7348772883415222
18,0.851372241973877,0.8716143369674683,0.8061569929122925,0.8430497050285339,0.21226510405540466,0.7422510385513306,0.6298368573188782,0.8420148491859436,0.8593265414237976,0.7770599126815796,0.7838313579559326,0.7347269058227539
19,0.8539370894432068,0.8755646347999573,0.8131137490272522,0.8475394248962402,0.20719332993030548,0.7490183711051941,0.6425855159759521,0.8268544673919678,0.8635741472244263,0.7776711583137512,0.7830778956413269,0.7359575033187866
20,0.8558899760246277,0.8751035332679749,0.8161996006965637,0.8490644693374634,0.20556598901748657,0.7503629922866821,0.636244535446167,0.8380783796310425,0.8623570799827576,0.7788930535316467,0.7820638418197632,0.7369776368141174
21,0.8567236661911011,0.8774017691612244,0.8208295702934265,0.8516513109207153,0.19970108568668365,0.7534533739089966,0.6377463340759277,0.8103898763656616,0.8599553108215332,0.7693645358085632,0.783672034740448,0.7273487448692322
22,0.8571571707725525,0.8757352232933044,0.8195316791534424,0.8508090972900391,0.20300868153572083,0.7529616951942444,0.709184467792511,0.8482152819633484,0.8547183871269226,0.8040388822555542,0.7852362394332886,0.761993944644928
23,0.8570353388786316,0.8769000768661499,0.8221924901008606,0.8520439863204956,0.20032808184623718,0.7543329000473022,0.6640872955322266,0.8142539262771606,0.8481960296630859,0.7755132913589478,0.7820903062820435,0.7340306639671326
